iter_label,phase,best_particle,objective,validity,uniqueness,product_validity_uniqueness,HBA,HBD,HBA_error,HBD_error,chem_closeness,batch_best_vu,batch_best_vu_HBA,batch_best_vu_HBD
0,phase0,6,0.09615734,0.692000,0.225867,0.15630000,1.885983,1.561272,2.114017,1.438728,0.03802527,0.15630000,1.885983,1.561272
-1,obl,1,0.12066985,0.532700,0.376009,0.20030000,1.433265,1.100995,2.566735,1.899005,0.00611399,0.20030000,1.433265,1.100995
1,iter,6,0.18529223,0.719400,0.363080,0.26120000,2.600222,2.203920,1.399778,0.796080,0.27347081,0.26120000,2.600222,2.203920
2,iter,9,0.27873197,0.500400,0.565947,0.28320000,3.716827,3.017186,0.283173,0.017186,0.96055764,0.28320000,3.716827,3.017186
3,iter,1,0.20107679,0.399500,0.593492,0.23710000,3.223279,2.406508,0.776721,0.593492,0.62016855,0.23710000,3.223279,2.406508
4,iter,1,0.28072497,0.496300,0.586137,0.29090000,3.574652,2.954262,0.425348,0.045738,0.91255558,0.32440000,5.354640,4.418767
5,iter,5,0.33969982,0.488700,0.705955,0.34500000,3.871087,3.248414,0.128913,0.248414,0.96159286,0.34500000,3.871087,3.248414
6,iter,9,0.26846709,0.436400,0.651008,0.28410000,3.504354,2.775665,0.495646,0.224335,0.86243476,0.34490000,2.136786,1.755674
7,iter,13,0.28476567,0.514500,0.554519,0.28530000,4.095627,2.984451,0.095627,0.015549,0.99531786,0.28530000,4.095627,2.984451
8,iter,3,0.31476562,0.645000,0.517984,0.33410000,4.269302,3.489922,0.269302,0.489922,0.85532489,0.33410000,4.269302,3.489922
9,iter,3,0.30163502,0.685300,0.469138,0.32150000,4.182402,3.549832,0.182402,0.549832,0.84552889,0.32150000,4.182402,3.549832
10,iter,13,0.30945579,0.586700,0.611386,0.35870000,4.491393,3.774161,0.491393,0.774161,0.65678695,0.35870000,4.491393,3.774161
11,iter,6,0.35633107,0.529500,0.714448,0.37830000,4.370349,3.420208,0.370349,0.420208,0.85481808,0.37830000,4.370349,3.420208
12,iter,6,0.37592549,0.551100,0.692978,0.38190000,3.879514,3.255489,0.120486,0.255489,0.96088956,0.42530000,4.753487,4.181681
13,iter,13,0.33056237,0.542300,0.688918,0.37360000,3.237876,2.686152,0.762124,0.313848,0.71200729,0.37360000,3.237876,2.686152
14,iter,8,0.42597772,0.771700,0.583128,0.45000000,3.475833,2.891668,0.524167,0.108332,0.86654288,0.45000000,3.475833,2.891668
15,iter,9,0.38908961,0.578400,0.685512,0.39650000,3.984267,3.308956,0.015733,0.308956,0.95327621,0.41010000,2.889074,2.367177
16,iter,6,0.39970460,0.749300,0.589350,0.44160000,3.272121,2.892033,0.727879,0.107967,0.76282040,0.44160000,3.272121,2.892033
17,iter,12,0.32646504,0.678500,0.501105,0.34000000,3.573766,3.167281,0.426234,0.167281,0.90047824,0.37840000,2.483001,2.052147
18,iter,12,0.39254238,0.706500,0.634961,0.44860000,3.149186,2.841189,0.850814,0.158811,0.68759684,0.44860000,3.149186,2.841189
19,iter,15,0.34789377,0.744200,0.529293,0.39390000,3.219968,2.713383,0.780032,0.286617,0.70800816,0.39390000,3.219968,2.713383
20,iter,6,0.40701046,0.622100,0.695226,0.43250000,3.455232,2.851632,0.544768,0.148368,0.85266160,0.43250000,3.455232,2.851632
21,iter,11,0.34377594,0.611800,0.615234,0.37640000,3.334096,2.787839,0.665904,0.212161,0.78331520,0.38580000,4.416937,3.707658
22,iter,9,0.43363127,0.651600,0.707336,0.46090000,4.368785,3.429098,0.368785,0.429098,0.85208977,0.46090000,4.368785,3.429098
23,iter,5,0.33287943,0.445000,0.815506,0.36290000,4.515955,3.444045,0.515955,0.444045,0.79318978,0.43350000,5.512023,4.513741
24,iter,9,0.38227824,0.486600,0.792643,0.38570000,4.132758,3.165023,0.132758,0.165023,0.97782109,0.44640000,5.019786,4.046072
25,iter,12,0.36945093,0.565400,0.707817,0.40020000,4.229218,3.611602,0.229218,0.611602,0.80791433,0.40020000,4.229218,3.611602
26,iter,6,0.39027743,0.726300,0.568636,0.41300000,4.065951,3.539997,0.065951,0.539997,0.86245418,0.41300000,4.065951,3.539997
27,iter,6,0.43910128,0.611400,0.730455,0.44660000,3.710173,3.042035,0.289827,0.042035,0.95802329,0.44660000,3.710173,3.042035
28,iter,1,0.41770414,0.568500,0.766579,0.43580000,3.538610,2.920493,0.461390,0.079507,0.89619172,0.46010000,4.943222,4.061321
29,iter,1,0.41082958,0.596500,0.722716,0.43110000,4.086672,3.492540,0.086672,0.492540,0.88244945,0.43110000,4.086672,3.492540
30,iter,11,0.45449412,0.611200,0.762598,0.46610000,3.925884,3.350785,0.074116,0.350785,0.93775008,0.46610000,3.925884,3.350785
31,iter,3,0.40788869,0.638900,0.658006,0.42040000,3.606981,2.987165,0.393019,0.012835,0.92559877,0.42040000,3.606981,2.987165
32,iter,14,0.49405869,0.672500,0.747063,0.50240000,3.741859,3.134721,0.258141,0.134721,0.95849268,0.50240000,3.741859,3.134721
33,iter,0,0.42025529,0.636100,0.693287,0.44100000,3.520673,3.143059,0.479327,0.143059,0.88239963,0.46040000,4.685422,3.999147
34,iter,1,0.53669245,0.784400,0.699006,0.54830000,3.805329,3.266191,0.194671,0.266191,0.94707484,0.54830000,3.805329,3.266191
35,iter,1,0.46388603,0.772600,0.629821,0.48660000,3.802356,3.457287,0.197644,0.457287,0.88330266,0.48660000,3.802356,3.457287
36,iter,13,0.45097075,0.688000,0.662064,0.45550000,3.958430,3.220494,0.041570,0.220494,0.97514133,0.52060000,2.582147,2.313938
37,iter,14,0.48467615,0.727900,0.688694,0.50130000,3.596785,3.102487,0.403215,0.102487,0.91709629,0.52270000,4.549407,3.820109
38,iter,14,0.43467422,0.622900,0.737036,0.45910000,3.477605,3.112057,0.522395,0.112057,0.86699096,0.45910000,3.477605,3.112057
39,iter,13,0.50855642,0.796900,0.689923,0.54980000,4.171414,3.621282,0.171414,0.621282,0.81246099,0.54980000,4.171414,3.621282
40,iter,15,0.39509005,0.877000,0.534094,0.46840000,3.062600,2.662258,0.937400,0.337742,0.60872144,0.46840000,3.062600,2.662258
41,iter,15,0.44431584,0.654700,0.726745,0.47580000,4.231098,3.555216,0.231098,0.555216,0.83457250,0.47580000,4.231098,3.555216
42,iter,11,0.50355426,0.681400,0.756824,0.51570000,3.689463,3.157910,0.310537,0.157910,0.94112015,0.51570000,3.689463,3.157910
43,iter,1,0.46123040,0.676200,0.747116,0.50520000,4.442916,3.542739,0.442916,0.542739,0.78241488,0.50520000,4.442916,3.542739
44,iter,1,0.46404685,0.716500,0.672854,0.48210000,3.599302,3.189812,0.400698,0.189812,0.90638275,0.48210000,3.599302,3.189812
45,iter,5,0.46197868,0.681900,0.746297,0.50890000,4.122599,3.713448,0.122599,0.713448,0.76949638,0.50890000,4.122599,3.713448
46,iter,9,0.49322876,0.816300,0.619135,0.50540000,3.856670,3.321940,0.143330,0.321940,0.93979405,0.50540000,3.856670,3.321940
47,iter,1,0.50185354,0.744100,0.772208,0.57460000,4.453837,3.745061,0.453837,0.745061,0.68349086,0.57460000,4.453837,3.745061
48,iter,0,0.57925784,0.785000,0.758726,0.59560000,3.669172,3.180764,0.330828,0.180764,0.93140464,0.59560000,3.669172,3.180764
49,iter,1,0.53464765,0.736800,0.746878,0.55030000,3.641151,3.136944,0.358849,0.136944,0.92889173,0.55740000,4.197173,3.634931
50,iter,1,0.57436763,0.843800,0.692344,0.58420000,3.709173,3.037331,0.290827,0.037331,0.95792381,0.58420000,3.709173,3.037331
51,iter,5,0.57413269,0.868300,0.678682,0.58930000,3.798917,3.304273,0.201083,0.304273,0.93565539,0.58930000,3.798917,3.304273
52,iter,15,0.56138837,0.854000,0.727635,0.62140000,4.090984,3.737822,0.090984,0.737822,0.75856281,0.62140000,4.090984,3.737822
53,iter,8,0.57071998,0.816100,0.734714,0.59960000,4.002941,3.506556,0.002941,0.506556,0.87958630,0.59960000,4.002941,3.506556
54,iter,15,0.60082143,0.784800,0.786825,0.61750000,3.738022,3.266820,0.261978,0.266820,0.93247544,0.61750000,3.738022,3.266820
55,iter,11,0.59433124,0.705400,0.849447,0.59920000,3.861497,3.147859,0.138503,0.147859,0.97968642,0.59920000,3.861497,3.147859
56,iter,15,0.63520172,0.769500,0.833528,0.64140000,3.804938,3.104224,0.195062,0.104224,0.97584081,0.64140000,3.804938,3.104224
57,iter,14,0.53402098,0.702600,0.766297,0.53840000,3.798036,2.982778,0.201964,0.017222,0.97966652,0.59200000,3.104644,2.727183
58,iter,11,0.54157958,0.724100,0.791051,0.57280000,3.480044,2.849606,0.519956,0.150394,0.86373771,0.57280000,3.480044,2.849606
59,iter,5,0.51335788,0.689900,0.755907,0.52150000,3.876069,3.253515,0.123931,0.253515,0.96096780,0.54170000,2.905317,2.529095
60,iter,0,0.51094882,0.719800,0.741734,0.53390000,3.788413,3.427341,0.211587,0.427341,0.89253052,0.57220000,3.173203,2.132288
61,iter,5,0.59867779,0.742900,0.828241,0.61530000,4.074842,3.366402,0.074842,0.366402,0.93246297,0.61530000,4.074842,3.366402
62,iter,15,0.61072508,0.711500,0.863106,0.61410000,3.839353,3.043148,0.160647,0.043148,0.98626072,0.61410000,3.839353,3.043148
63,iter,12,0.53935987,0.760700,0.766136,0.58280000,3.364007,2.910872,0.635993,0.089128,0.81365764,0.58280000,3.364007,2.910872
64,iter,6,0.60392237,0.830400,0.749759,0.62260000,3.667991,3.213752,0.332009,0.213752,0.92500150,0.62260000,3.667991,3.213752
65,iter,6,0.61810987,0.818300,0.814616,0.66660000,3.388366,2.834657,0.611634,0.165343,0.81814384,0.66660000,3.388366,2.834657
66,iter,6,0.63400915,0.740500,0.866307,0.64150000,4.015260,3.242944,0.015260,0.242944,0.97080727,0.64150000,4.015260,3.242944
67,iter,6,0.62195912,0.768700,0.829713,0.63780000,3.666970,3.131521,0.333030,0.131521,0.93790813,0.63780000,3.666970,3.131521
68,iter,1,0.65660815,0.849500,0.791642,0.67250000,3.685109,3.150441,0.314891,0.150441,0.94092248,0.67250000,3.685109,3.150441
69,iter,6,0.60764932,0.804500,0.789186,0.63490000,3.575140,3.215662,0.424860,0.215662,0.89269696,0.63490000,3.575140,3.215662
70,iter,15,0.65288270,0.801400,0.830671,0.66570000,4.028325,3.312828,0.028325,0.312828,0.95186534,0.66570000,4.028325,3.312828
71,iter,5,0.65179760,0.829000,0.804704,0.66710000,3.736188,3.220265,0.263812,0.220265,0.94265327,0.66710000,3.736188,3.220265
72,iter,15,0.63527691,0.795800,0.813270,0.64720000,4.022870,3.306233,0.022870,0.306233,0.95394357,0.65500000,3.866455,3.427002
73,iter,1,0.64608274,0.833600,0.796305,0.66380000,3.666147,3.163268,0.333853,0.163268,0.93327334,0.66380000,3.666147,3.163268
74,iter,5,0.62387094,0.819700,0.775162,0.63540000,3.875320,3.278029,0.124680,0.278029,0.95463858,0.66140000,4.073282,3.600000
75,iter,10,0.64283702,0.800100,0.829021,0.66330000,4.112361,3.384577,0.112361,0.384577,0.92287434,0.66330000,4.112361,3.384577
76,iter,0,0.60853718,0.821600,0.761806,0.62590000,3.667113,3.181475,0.332887,0.181475,0.93064860,0.64270000,3.481651,2.832695
77,iter,1,0.66918148,0.859700,0.807026,0.69380000,3.594277,3.145516,0.405723,0.145516,0.91129102,0.69380000,3.594277,3.145516
78,iter,15,0.65185048,0.847200,0.789896,0.66920000,3.760269,3.276676,0.239731,0.276676,0.93518559,0.66920000,3.760269,3.276676
79,iter,3,0.63540926,0.806700,0.803025,0.64780000,3.809347,3.248296,0.190653,0.248296,0.95218144,0.66230000,4.062471,3.724428
80,iter,3,0.66933251,0.834700,0.836109,0.69790000,3.992093,3.464598,0.007907,0.464598,0.89766625,0.69790000,3.992093,3.464598
81,iter,5,0.67301697,0.792400,0.873801,0.69240000,3.903963,3.368627,0.096037,0.368627,0.93001506,0.69240000,3.903963,3.368627
82,iter,5,0.69491014,0.796900,0.884929,0.70520000,3.891203,3.249969,0.108797,0.249969,0.96352147,0.70520000,3.891203,3.249969
83,iter,6,0.62821951,0.737800,0.859040,0.63380000,3.847791,3.146110,0.152209,0.146110,0.97798797,0.67220000,3.093354,2.692207
84,iter,2,0.62892315,0.805700,0.868065,0.69940000,4.279384,3.708825,0.279384,0.708825,0.74808102,0.69940000,4.279384,3.708825
85,iter,6,0.63889512,0.803300,0.848998,0.68200000,4.204033,3.549857,0.204033,0.549857,0.84199089,0.68200000,4.204033,3.549857
86,iter,14,0.65382231,0.795900,0.839050,0.66780000,3.690413,3.107928,0.309587,0.107928,0.94767261,0.70000000,4.194200,3.572254
87,iter,14,0.66857571,0.801900,0.850480,0.68200000,3.782392,3.231450,0.217608,0.231450,0.95079074,0.68650000,3.655306,3.141165
88,iter,13,0.68205538,0.784300,0.878235,0.68880000,3.785541,3.059799,0.214459,0.059799,0.97552040,0.70000000,4.180801,3.488311
89,iter,2,0.67638060,0.755600,0.910402,0.68790000,3.724193,3.097274,0.275807,0.097274,0.95813564,0.68790000,3.724193,3.097274
90,iter,0,0.66305287,0.813900,0.839661,0.68340000,3.792604,3.334193,0.207396,0.334193,0.92556653,0.68340000,3.792604,3.334193
91,iter,15,0.64031526,0.759400,0.855939,0.65000000,3.825125,3.212931,0.174875,0.212931,0.96275099,0.68980000,4.233926,3.746590
92,iter,4,0.70714936,0.801200,0.896405,0.71820000,4.038318,3.277459,0.038318,0.277459,0.96153356,0.71820000,4.038318,3.277459
93,iter,1,0.69370800,0.799500,0.898937,0.71870000,3.575985,2.954096,0.424015,0.045904,0.91306525,0.71870000,3.575985,2.954096
94,iter,13,0.68576976,0.821500,0.847839,0.69650000,3.720511,3.020937,0.279489,0.020937,0.96148515,0.71230000,4.088977,3.615115
95,iter,1,0.70428681,0.836900,0.865934,0.72470000,3.718604,3.258573,0.281396,0.258573,0.92958054,0.72470000,3.718604,3.258573
96,iter,15,0.71760229,0.832400,0.875901,0.72910000,3.728976,3.083614,0.271024,0.083614,0.96057569,0.72910000,3.728976,3.083614
97,iter,11,0.71162050,0.790000,0.908987,0.71810000,3.825823,3.123671,0.174177,0.123671,0.97744222,0.75350000,4.255667,3.578874
98,iter,11,0.72672248,0.820300,0.901499,0.73950000,3.754358,3.167256,0.245642,0.167256,0.95680352,0.73950000,3.754358,3.167256
99,iter,11,0.72925179,0.819600,0.907882,0.74410000,3.718643,3.152269,0.281357,0.152269,0.95011353,0.74410000,3.718643,3.152269
100,iter,5,0.72735980,0.800600,0.921059,0.73740000,3.752436,3.089308,0.247564,0.089308,0.96596082,0.73800000,4.161983,3.478464
101,iter,5,0.70610741,0.822100,0.881158,0.72440000,3.639460,2.979200,0.360540,0.020800,0.93686985,0.72630000,3.607560,3.063802
102,iter,12,0.70873813,0.831400,0.867934,0.72160000,3.770989,3.196777,0.229011,0.196777,0.95543974,0.72160000,3.770989,3.196777
103,iter,4,0.72824364,0.846800,0.872579,0.73890000,3.746575,3.096009,0.253425,0.096009,0.96394519,0.73890000,3.746575,3.096009
104,iter,4,0.73928085,0.834000,0.903717,0.75370000,3.715947,3.131655,0.284053,0.131655,0.95217212,0.75370000,3.715947,3.131655
105,iter,11,0.74790819,0.826900,0.915709,0.75720000,3.755714,3.051397,0.244286,0.051397,0.96932181,0.75720000,3.755714,3.051397
106,iter,5,0.73747950,0.843000,0.886121,0.74700000,3.755160,3.069395,0.244840,0.069395,0.96813754,0.74940000,3.813294,3.240235
107,iter,4,0.74572256,0.830100,0.912782,0.75770000,3.717143,3.025178,0.282857,0.025178,0.96048094,0.75770000,3.717143,3.025178
108,iter,9,0.74537026,0.829000,0.912425,0.75640000,3.735223,3.064536,0.264777,0.064536,0.96354527,0.75640000,3.735223,3.064536
109,iter,1,0.74662828,0.825300,0.913001,0.75350000,3.806495,3.093178,0.193505,0.093178,0.97720066,0.75720000,3.773714,3.221921
110,iter,0,0.74744069,0.814100,0.927896,0.75540000,3.769930,3.021373,0.230070,0.021373,0.97365863,0.75890000,3.746222,3.181321
111,iter,6,0.75096573,0.809600,0.931324,0.75400000,3.920208,3.117712,0.079792,0.117712,0.98993942,0.75760000,3.848012,3.148024
112,iter,10,0.75503246,0.821500,0.923798,0.75890000,3.884236,3.110651,0.115764,0.110651,0.98725937,0.76150000,3.875983,3.168663
113,iter,8,0.75733820,0.826500,0.923291,0.76310000,3.895705,3.165033,0.104295,0.165033,0.98112369,0.76310000,3.895705,3.165033
114,iter,3,0.76001450,0.822500,0.929605,0.76460000,3.925836,3.157204,0.074164,0.157204,0.98500688,0.76490000,3.768468,3.172528
115,iter,3,0.76289026,0.826000,0.929903,0.76810000,3.965617,3.181719,0.034383,0.181719,0.98304341,0.76810000,3.965617,3.181719
116,iter,10,0.75872772,0.819700,0.930584,0.76280000,3.958521,3.158595,0.041479,0.158595,0.98665350,0.76350000,3.943805,3.202979
117,iter,4,0.75963329,0.829500,0.923810,0.76630000,3.863412,3.159132,0.136588,0.159132,0.97825033,0.76980000,3.914126,3.276203
118,iter,12,0.76395832,0.831400,0.929637,0.77290000,3.958143,3.238634,0.041857,0.238634,0.97107749,0.77290000,3.958143,3.238634
119,iter,9,0.76362947,0.831500,0.927841,0.77150000,3.934937,3.217799,0.065063,0.217799,0.97449602,0.77150000,3.934937,3.217799
120,iter,5,0.76448907,0.833000,0.925930,0.77130000,3.938535,3.202161,0.061465,0.202161,0.97792387,0.77130000,3.938535,3.202161
121,iter,15,0.76434362,0.846500,0.913999,0.77370000,3.840756,3.189841,0.159244,0.189841,0.96976740,0.78040000,3.993430,3.333177
122,iter,14,0.76758394,0.843300,0.917704,0.77390000,3.897071,3.175027,0.102929,0.175027,0.97959667,0.77390000,3.897071,3.175027
123,iter,4,0.76743708,0.844600,0.917594,0.77500000,3.907530,3.202108,0.092470,0.202108,0.97560347,0.77500000,3.907530,3.202108
124,iter,6,0.76948408,0.841800,0.920646,0.77500000,3.896650,3.158826,0.103350,0.158826,0.98220670,0.78180000,3.991070,3.307719
125,iter,6,0.76527927,0.842200,0.919140,0.77410000,3.924365,3.228212,0.075635,0.228212,0.97151297,0.77410000,3.924365,3.228212
126,iter,14,0.76964502,0.837600,0.924427,0.77430000,3.912488,3.150430,0.087512,0.150430,0.98497036,0.77430000,3.912488,3.150430
127,iter,10,0.76516108,0.833400,0.925246,0.77110000,3.859131,3.137989,0.140869,0.137989,0.98074531,0.77110000,3.859131,3.137989
128,iter,7,0.76779747,0.838900,0.922756,0.77410000,3.922160,3.187269,0.077840,0.187269,0.97964562,0.77410000,3.922160,3.187269
129,iter,5,0.76549450,0.830400,0.931238,0.77330000,3.995063,3.226036,0.004937,0.226036,0.97476560,0.77760000,3.942355,3.321067
130,iter,3,0.76611285,0.834900,0.924662,0.77200000,3.939753,3.186729,0.060247,0.186729,0.98093539,0.77540000,3.968165,3.252653
131,iter,4,0.76723195,0.838900,0.920491,0.77220000,3.920372,3.161521,0.079628,0.161521,0.98391591,0.77440000,3.920252,3.221892
132,iter,4,0.77052447,0.844300,0.920644,0.77730000,3.893640,3.180978,0.106360,0.180978,0.97820812,0.78100000,3.995290,3.328309
133,iter,0,0.77612269,0.846500,0.923804,0.78200000,3.897696,3.165741,0.102304,0.165741,0.98121066,0.78200000,3.897696,3.165741
134,iter,15,0.77434503,0.845700,0.924087,0.78150000,3.910488,3.195696,0.089512,0.195696,0.97711141,0.78240000,3.995626,3.242700
135,iter,0,0.77734227,0.853200,0.924637,0.78890000,3.970347,3.271566,0.029653,0.271566,0.96337391,0.78890000,3.970347,3.271566
136,iter,7,0.77607317,0.846600,0.926884,0.78470000,3.935625,3.227144,0.064375,0.227144,0.97251552,0.78570000,3.970986,3.359843
137,iter,2,0.77256359,0.858900,0.915008,0.78590000,3.923856,3.284434,0.076144,0.284434,0.95757601,0.78860000,4.040778,3.414307
138,iter,2,0.77600494,0.855600,0.920524,0.78760000,3.933964,3.265778,0.066036,0.265778,0.96319497,0.78760000,3.933964,3.265778
139,iter,0,0.77723139,0.854400,0.920646,0.78660000,3.913038,3.229986,0.086962,0.229986,0.97022436,0.78700000,3.926552,3.261176
140,iter,5,0.77587388,0.846300,0.924849,0.78270000,3.900981,3.185159,0.099019,0.185159,0.97819688,0.78770000,3.987237,3.306089
141,iter,5,0.78322791,0.851500,0.926483,0.78890000,3.862361,3.131650,0.137639,0.131650,0.98202533,0.79040000,3.944700,3.266124
142,iter,8,0.78169713,0.856400,0.919897,0.78780000,3.879496,3.156819,0.120504,0.156819,0.98063320,0.78850000,3.980532,3.291896
143,iter,8,0.78258254,0.854800,0.923374,0.78930000,3.875058,3.165536,0.124942,0.165536,0.97872337,0.78930000,3.875058,3.165536
144,iter,6,0.78320030,0.850900,0.928429,0.79000000,3.874251,3.166412,0.125749,0.166412,0.97848197,0.79140000,3.982374,3.255934
145,iter,13,0.77947439,0.849600,0.925847,0.78660000,3.883945,3.179849,0.116055,0.179849,0.97735315,0.78660000,3.883945,3.179849
146,iter,3,0.78061244,0.850800,0.923836,0.78600000,3.874354,3.137047,0.125646,0.137047,0.98286400,0.78990000,4.011896,3.326569
147,iter,0,0.78040890,0.849700,0.928563,0.78900000,3.932447,3.225021,0.067553,0.225021,0.97277851,0.78900000,3.932447,3.225021
148,iter,3,0.78142946,0.854800,0.921970,0.78810000,3.849321,3.141671,0.150679,0.141671,0.97883980,0.78890000,3.943587,3.296692
149,iter,1,0.78122566,0.858300,0.917395,0.78740000,3.876034,3.155657,0.123966,0.155657,0.98039644,0.79060000,3.961842,3.272759
150,iter,9,0.78283945,0.850100,0.930949,0.79140000,3.885425,3.204211,0.114575,0.204211,0.97295757,0.79140000,3.885425,3.204211
